seccion_id,votante,cantidad,tipo,concepto,cantidad_str
81,No Votantes,97.0,3,VotoBlando,97
82,No Votantes,673.0,3,VotoBlando,673
83,No Votantes,289.0,3,VotoBlando,289
84,No Votantes,609.0,3,VotoBlando,609
85,No Votantes,208.0,3,VotoBlando,208
86,No Votantes,31.0,3,VotoBlando,31
87,No Votantes,887.0,3,VotoBlando,887
88,No Votantes,25.0,3,VotoBlando,25
89,No Votantes,1814.0,3,VotoBlando,"1,814"
90,No Votantes,310.0,3,VotoBlando,310
91,No Votantes,51.0,3,VotoBlando,51
92,No Votantes,2595.0,3,VotoBlando,"2,595"
93,No Votantes,213.0,3,VotoBlando,213
94,No Votantes,102.0,3,VotoBlando,102
95,No Votantes,32.0,3,VotoBlando,32
96,No Votantes,163.0,3,VotoBlando,163
97,No Votantes,90.0,3,VotoBlando,90
98,No Votantes,161.0,3,VotoBlando,161
99,No Votantes,202.0,3,VotoBlando,202
100,No Votantes,29.0,3,VotoBlando,29
101,No Votantes,313.0,3,VotoBlando,313
102,No Votantes,165.0,3,VotoBlando,165
103,No Votantes,155.0,3,VotoBlando,155
104,No Votantes,53.0,3,VotoBlando,53
105,No Votantes,962.0,3,VotoBlando,962
106,No Votantes,1545.0,3,VotoBlando,"1,545"
107,No Votantes,1125.0,3,VotoBlando,"1,125"
108,No Votantes,620.0,3,VotoBlando,620
109,No Votantes,309.0,3,VotoBlando,309
110,No Votantes,49.0,3,VotoBlando,49
111,No Votantes,976.0,3,VotoBlando,976
112,No Votantes,29.0,3,VotoBlando,29
113,No Votantes,2815.0,3,VotoBlando,"2,815"
114,No Votantes,77.0,3,VotoBlando,77
115,No Votantes,346.0,3,VotoBlando,346
116,No Votantes,10.0,3,VotoBlando,10
117,No Votantes,334.0,3,VotoBlando,334
118,No Votantes,1852.0,3,VotoBlando,"1,852"
119,No Votantes,607.0,3,VotoBlando,607
120,No Votantes,39.0,3,VotoBlando,39
121,No Votantes,236.0,3,VotoBlando,236
122,No Votantes,1170.0,3,VotoBlando,"1,170"
123,No Votantes,249.0,3,VotoBlando,249
124,No Votantes,246.0,3,VotoBlando,246
125,No Votantes,759.0,3,VotoBlando,759
126,No Votantes,25.0,3,VotoBlando,25
127,No Votantes,66.0,3,VotoBlando,66
128,No Votantes,314.0,3,VotoBlando,314
129,No Votantes,1837.0,3,VotoBlando,"1,837"
130,No Votantes,2546.0,3,VotoBlando,"2,546"
131,No Votantes,62.0,3,VotoBlando,62
132,No Votantes,893.0,3,VotoBlando,893
133,No Votantes,900.0,3,VotoBlando,900
134,No Votantes,990.0,3,VotoBlando,990
135,No Votantes,50.0,3,VotoBlando,50
1,No Votantes,63.0,4,VotoBlando,63
2,No Votantes,52.0,4,VotoBlando,52
3,No Votantes,2493.0,4,VotoBlando,"2,493"
4,No Votantes,1211.0,4,VotoBlando,"1,211"
5,No Votantes,143.0,4,VotoBlando,143
6,No Votantes,513.0,4,VotoBlando,513
7,No Votantes,1350.0,4,VotoBlando,"1,350"
8,No Votantes,306.0,4,VotoBlando,306
9,No Votantes,273.0,4,VotoBlando,273
10,No Votantes,165.0,4,VotoBlando,165
11,No Votantes,1558.0,4,VotoBlando,"1,558"
